"CUSTOMER","BU","NSB_LAST","COST","NETBOOK","NOOFMFGR","INV_QTY","NOOFMTHPURCHASE","NOOFMTHPURCHASE_Q4","NOOFPART","NOOFAPFC3","CUST_LOSS","FSO","BSO"
"AXLON ELECTRONICS CORPORATION/BRANCH-TAIPEI1","BRANCH-TAIPEI1",5433.225,4612.26535,720,3,4145,4,1,5,2,1,0,0
"ANS TECHNOLOGY CO.,LTD./SPECIALTY-GREATERCHINA-RESELLER","SPECIALTY-GREATERCHINA-RESELLER",22572.03136989579,20624.144437072562,9100.785094815012,3,142281,12,3,23,7,1,0,0
"GPV ASIA (THAILAND) CO.,LTD/BRANCH-TVIP","BRANCH-TVIP",3321353.7905,3014261.5877926270301,1726009.781699999891749,59,32953390,12,3,604,61,1,0,0
"HEAT INTERTRADE CO.,LTD./BRANCH-TVIP","BRANCH-TVIP",9537,8759.47246,3828,3,1757,2,0,4,3,1,0,0
"PRODRONE TECHNOLOGY (SHENZHEN)CO.,LTD/SPECIALTY-SEED-SOUTH","SPECIALTY-SEED-SOUTH",150876.43383893359,140946.8832154318,77378.0077308134921,1,19669,4,3,2,1,0,0,0
"SHENZHEN DOWSE ELECTRONICS CO./SPECIALTY-SEED-SOUTH","SPECIALTY-SEED-SOUTH",785151.88,743827.46296,762281.679999999995907,2,1987368,12,3,5,3,1,0,0
"SOUND LAND CORP./SPECIALTY-ATM-TAIWAN","SPECIALTY-ATM-TAIWAN",1164,870.14,414,2,13500,4,1,2,2,1,0,0
"ENTECH ELECTRONICS (HK) LTD/BRANCH-ANZ","BRANCH-ANZ",961760.47,777150.886439575184,536856.639999999994628,34,1834631,12,3,142,35,1,0,0
"CSG SMART ELECTRICAL TECHNOLOGY CO., LTD/BRANCH-NANJING","BRANCH-NANJING",98066,94630,22808,1,97320,6,1,1,1,1,0,0
"SHANGHAI BAOLONG AUTOMOTIVE CORPORATION/BRANCH-SHANGHAI2","BRANCH-SHANGHAI2",7138010.005622146973,6602056.734911477022,7991693.280165584802077,14,5337446,6,3,35,17,1,0,169842.414963958667
"DELPHI ELECTRICAL CENTERS/BRANCH-SHANGHAI2","BRANCH-SHANGHAI2",1898631,1763941.9865,1644153.000000000001,9,1826476,12,3,19,13,1,0,886106.66
"SUZHOU INOVANCE TECHNOLOGY CO./BRANCH-SUZHOU","BRANCH-SUZHOU",570817.536567661888,536645.417990072614,921595.77056355400856,7,626634,12,3,27,14,1,0,1331.98317494937
"VAST CHINA CO., LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",117592.19799011066,104468.4,190501.62570374911,1,108000,8,2,1,1,1,0,0
"WIESON AUTOMOTIVE CO.,LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",264716.733081638755,238928.3963395590725,403987.283268942729004,8,2903000,12,3,20,6,1,0,0
"INNOLIGHT TECHNOLOGY (SUZHOU)/BRANCH-SUZHOU","BRANCH-SUZHOU",7533047.81,7116262.27364,8783451.21000000009964,7,5846220,12,3,27,14,1,0,0
"CONTEMPORARY AMPEREX TECHNOLOGY CO., LIMITED/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",943911.51665902896269,851290.224531926712,1140325.56314089876596,6,1245282,11,3,13,6,1,0,392489.75303873329
"ZHEJIANG DAHUA VISION TECHNOLO/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",22539700.3034469757708,21475074.1906711971993,20407791.113435164522193,19,92666398,12,3,264,50,1,17404940.481,1700777.15
"SHENZHEN LAUNCH DIGITAL/ALTERA-TEAM","ALTERA-TEAM",436728.316633066213,365562.444570447548,466481.84418911336977,1,131656,10,3,6,2,1,0,0
"NANCHANG BLACKSHARK TECHNOLOGIES CO.,LTD/BRANCH-BEIJING2","BRANCH-BEIJING2",3020,2754.38,3020,2,26000,1,1,3,2,1,0,52815
"HONEYWELL CO., LTD/BRANCH-BEIJING1","BRANCH-BEIJING1",1682728.45251316633004,1545957.30228055890615,1272740.274116197261591,33,25734202,12,3,233,39,1,1416691.802,0
"ECO-MI(XIAOMI)/BRANCH-BEIJING2","BRANCH-BEIJING2",1380950,1310875.95,1952884.000000000000128,1,5318000,9,3,15,7,1,0,5333257.7
"MI-ECO/BRANCH-BEIJING2","BRANCH-BEIJING2",335000,318712.3,317250,1,670000,2,2,1,1,1,0,91000
"CHONGQING SOKON NEW ENERGY AUTOMOBILE DESIGN CO.,LTD/BRANCH-CHINA-CENTRALWEST","BRANCH-CHINA-CENTRALWEST",5013,4730.58,5013,2,45000,1,1,3,2,1,0,0
"HARBIN COSLIGHT POWER CO.,LTD/BRANCH-CHINA-NORTHEAST","BRANCH-CHINA-NORTHEAST",2772800.1671843394534,2155308.4884071008438,2484894.325250315567955,15,9513197,12,3,112,24,1,0,0
"BEIJING GZJC TECHNOLOGY CO.,LT/BRANCH-BEIJING1","BRANCH-BEIJING1",9694.34781275865,8372.03181999325,0,1,200,1,0,1,1,1,0,0
"VARITRONIX LIMITED/BRANCH-CHINASOUTH","BRANCH-CHINASOUTH",820756.615,723456.7897,726894.144999999997727,10,1521720,11,3,32,15,1,0,565002
"UBTECH  GROUP/BRANCH-SHENZHEN1","BRANCH-SHENZHEN1",609363.1652613723958,546410.5653747385549,715004.795428381450184,8,4684343,11,3,30,18,1,0,2385154.798886773099
"HYTERA COMMUNICATIONS (HONGKONG) COMPANY LIMITED/BRANCH-SHENZHEN2","BRANCH-SHENZHEN2",10978140.60799824,10039760.87839,8813593.898998239993533,27,16141864,12,3,298,39,1,0,712232.716
"YAZAKI(CHINA)INVESTMENT CORPOR/BRANCH-SHENZHEN3","BRANCH-SHENZHEN3",12116836.8726858549014,11489810.0994376717866,11162287.093212116454246,2,174322897,12,3,344,11,1,623503.847632607598,0
"GRENTECH GROUP/BRANCH-SHENZHEN1","BRANCH-SHENZHEN1",1229398.2680452896323,1082057.787582814151,1173492.0865579266883,4,857810,11,2,18,8,1,0,2343.63556466969
"ASM ASIA LTD./BRANCH-HONGKONG1","BRANCH-HONGKONG1",924624.97,820423.43544,651968.62999999999909,16,830162,12,3,85,24,1,0,31989.72
"UNICORN ELECTRONIC (SHENZHEN) CO. LTD/BRANCH-HONGKONG1","BRANCH-HONGKONG1",826604.42,736236.59352,897869.06,3,1883134,12,3,9,2,1,0,0
"SEASON COMPONENTS CO. LTD./BRANCH-HONGKONG1","BRANCH-HONGKONG1",2709930.341283757417889,2401603.390257209692284,1343412.838178976161596,43,14525609,12,3,378,51,1,0,3119.60005127548
"TESTO INSTRUMENTS (SHENZHEN) CO., LTD./BRANCH-HONGKONG1","BRANCH-HONGKONG1",231246.24,200786.4084,133217.02,10,5310571,12,3,23,10,1,0,2808
"BPS/BRANCH-HONGKONG2","BRANCH-HONGKONG2",6054213.17406111,5661162.8076893112,5606552.448961110029059,24,10063514,12,3,400,38,1,6320307.7578,213972.6
"GP ELECTRONICS LTD./BRANCH-HONGKONG2","BRANCH-HONGKONG2",3276130.31711798,3062891.817929275666,2396985.67511797999081,36,15658336,12,3,268,37,1,293145.6,27895.4
"SUGA MACAO COMMERCIAL OFFSHORE LIMITED/BRANCH-HONGKONG2","BRANCH-HONGKONG2",2059085.455,1840233.13488,1814816.185000000011134,27,5218225,12,3,74,29,1,0,4712.2
"SURE SMART LIMITED/BRANCH-HONGKONG2","BRANCH-HONGKONG2",487010.54,434790.8025390383548,162473.840000000000341,18,666999,12,3,48,15,1,0,0
"SHENZHEN SINOIC TECHNOLOGY CO.,LTD/BRANCH-HONGKONG2","BRANCH-HONGKONG2",2825,2679.425,975,1,7500,2,1,2,1,1,0,0
"WIRE & PLUG TECHNOLOGY LIMITED/BRANCH-HONGKONG1","BRANCH-HONGKONG1",35145.091181859768,31486.2917346096154,16701.209520489715445,6,239940,12,3,12,8,1,0,0
"HERALD DATANETICS LIMITED/BRANCH-HONGKONG1","BRANCH-HONGKONG1",298123.283448781033,265169.067053506779,152813.306179964908904,11,741960,11,3,15,11,1,0,0
"KAYNES TECHNOLOGY/BRANCH-INDIA","BRANCH-INDIA",3507343.0688,3113614.594770111789,752624.873499999999611,60,10800072,12,3,481,51,1,0,0
"NIKKON LED SDN BHD/BRANCH-MALAYSIA","BRANCH-MALAYSIA",176440,165283.76736166315,78880,1,430000,7,2,8,1,1,0,18500
"ESCATEC MECHATRONICS S/B/BRANCH-MALAYSIA","BRANCH-MALAYSIA",5072854.1905,4676623.3281874519,4319374.779999999990477,47,16441571,12,3,293,46,1,0,0
"POLAR ELECTRO MALAYSIA (M) SDN BHD/BRANCH-MALAYSIA","BRANCH-MALAYSIA",61809.8,59191.64908,27128.799999999999886,4,484252,10,3,9,5,1,0,26880
"FISHER & PAYKEL HEALTHCARE/BRANCH-ANZ","BRANCH-ANZ",606262.24,527918.5787115212354,202414.89999999999991,14,4746158,12,3,39,16,1,80003.8,71076.32
"CHANGCHUN FAWSN LEAR  AUTOMOTIVE ELECTRICAL AND ELECTRONICS CO.,LTD/SPECIALTY-PSG","SPECIALTY-PSG",476108.3868920616521,370089.7791443588234,435544.911135332457447,2,60278298,12,3,27,5,1,349968.6338642979471,43932.863677320725
"APTIV ELECTRIC SYSTEMS CO., LTD. YANTAI BRANCH/SPECIALTY-PSG","SPECIALTY-PSG",1805967.31519360089738,1743014.71810952391185,1997808.997047040714846,2,57208122,12,3,291,2,1,250543.55214846173124,0
"BIZLINK (BVI) CORP/SPECIALTY-PSG","SPECIALTY-PSG",1489673.4220120008003,1270770.0618190862935,1234003.009948281737481,3,24770975,12,3,177,10,1,233231.0868,1483.91025340765
"AMPHENOL GOLD STAR ELECTRONIC SYSTEMS(YULIN) CO.,LTD/SPECIALTY-PSG","SPECIALTY-PSG",330233.13713900884529,271404.36253058141471,153437.418419964063911,3,4845996,12,3,77,7,1,0,0
"APTIV ELECTRIC SYSTEMS CO., LTD. BAICHENG BRANCH/SPECIALTY-PSG","SPECIALTY-PSG",170672.90636112034418,162950.99339324335738,110279.635762091687491,5,4657300,12,3,78,3,1,5910.099768188726,0
"SUZHOU INOVANCE TECHNOLOGY CO.,LTD./SPECIALTY-SEED-CENTRAL-NORTH","SPECIALTY-SEED-CENTRAL-NORTH",15139971.2576072988974,13825179.67596643959626,13986043.247337414717422,24,107950303,12,3,486,43,1,0,0
"SHANGHAI DAJUN TECHNOLOGIES INC/SPECIALTY-SEED-CENTRAL-NORTH","SPECIALTY-SEED-CENTRAL-NORTH",1057308.552506683464,910766.387713843182,919562.366611926071426,6,1689900,9,2,48,15,1,0,340810.085879389902
"GLOBAL SOURCE MANAGEMENT PTE LTD/BRANCH-SINGAPORE","BRANCH-SINGAPORE",1762374.3,1579771.124,1594321.299999999999394,13,33672300,12,3,34,15,1,0,0
"HITRON TECHNOLOGY INC./BRANCH-HSINCHU/KH","BRANCH-HSINCHU/KH",431976.7334,381925.2141905405,327142.9334000000003,17,3895198,12,3,40,23,1,0,61933.3
"JOY TECHNOLOGY (SHENZHEN) CO.,/BRANCH-HSINCHU/KH","BRANCH-HSINCHU/KH",360807.3,345400.1643,310292.799999999999488,2,35550,12,3,7,2,1,0,0
"HIWIN MIKROSYSTEM CORP. LTD./BRANCH-HSINCHU/KH","BRANCH-HSINCHU/KH",15484.8,13056.875,28375.2,2,521000,8,2,5,4,1,0,0
"GEMTEK ELECTRONICS (KUNSHAN) CO., LTD./BRANCH-HSINCHU/KH","BRANCH-HSINCHU/KH",512741.08512,479592.89360000001,323510.635120000002875,14,4144440,12,3,44,17,1,0,1314
"MASCOT ELECTRIC CO., LTD,/BRANCH-HSINCHU/KH","BRANCH-HSINCHU/KH",161191.213642258507,143883.284736036958,142249.999999999998181,3,217105,9,2,4,4,1,0,30875
"FAIRWAY ELECTRONIC CO.,LTD/BRANCH-TAIPEI2","BRANCH-TAIPEI2",27793.5,23019.7512,1978,9,112220,9,2,13,6,1,0,0
"JASON TOYS & ELECTRONICS/BRANCH-TAIPEI2","BRANCH-TAIPEI2",41952,35827.92,30912,1,456000,9,3,1,1,1,0,0
"ASIA OPTICAL INTERNATIONAL LTD./BRANCH-TAIPEI1","BRANCH-TAIPEI1",546271.91,513965.79842,444692.25,11,898575,12,3,32,17,1,0,12230
"INFO-TEK CORPORATION/BRANCH-HSINCHU/KH","BRANCH-HSINCHU/KH",669846.8219999999999,627545.0416286,380823.0319999999999,22,960365,12,3,127,31,1,0,7956
"PILOT ELECTRONICS CORPORATION/BRANCH-TAIPEI1","BRANCH-TAIPEI1",718967.77872,621834.4526279,156279.198720000005902,12,387390,11,3,42,15,1,0,24546
"MOLEX/BRANCH-TVIP","BRANCH-TVIP",75345.02,67957.90420306178,17392.863999999999545,7,320554,12,3,22,6,1,0,0
"ACCUENERGY TECHNOLOGY CO., LTD./SPECIALTY-ATM-CHINA1","SPECIALTY-ATM-CHINA1",5300,4913.18,0,1,2000,1,1,1,1,1,0,0
"HENDON SEMICONDUCTORS PTY LTD/BRANCH-ANZ","BRANCH-ANZ",48709.85010359442046,41785.44278235885472,29535.421879459822989,8,368000,10,3,19,5,1,0,0
"MASS ELECTRONICS/BRANCH-ANZ","BRANCH-ANZ",39119.3353925572897,32467.8699356711133,642.20256056603983,10,92717,9,1,13,10,1,0,0
"APP-TEK PTY LTD/BRANCH-ANZ","BRANCH-ANZ",16942.86240786251937,13228.63950485378569,463.02759659072259,3,16620,10,3,5,3,1,0,0
"THYCON INDUSTRIES PTY LTD/BRANCH-ANZ","BRANCH-ANZ",44651.0189379223289,26519.4674578230746,31278.83595846142034,13,114149,12,3,93,18,1,0,0
"EPDM PTY LTD/BRANCH-ANZ","BRANCH-ANZ",31552.178485450955,25587.772383872511,10857.386899231618,15,62580,9,2,20,12,1,0,0
"PLASMATRONICS/BRANCH-ANZ","BRANCH-ANZ",47918.11157239006401,37087.90618555731247,1229.260034655049876,18,453646,12,3,91,18,1,0,0
"NESS SECURITY PRODUCTS PTY LTD/BRANCH-ANZ","BRANCH-ANZ",156412.1855852799476,121359.5280697601296,39650.849500847375135,18,487002,12,3,44,20,1,0,0
"SHANGHAI SANSI ELECTRONICS ENGINEERING CO.,LTD/ALTERA-TEAM","ALTERA-TEAM",1319573.37655156633,1224568.41362311075,-44768.5155845765449,1,515520,9,2,3,1,1,0,0
"SHANGHAI SHR POWER CONTROL/ALTERA-TEAM","ALTERA-TEAM",471827.20518931623,392446.14216268927,97355.3356094256942,1,23340,7,1,4,1,1,0,0
"NANJING ZONGZEN ELECTRIC CO.,LTD/ALTERA-TEAM","ALTERA-TEAM",14808.2484370214,14228.9472861206,-201.597671942238,1,588,1,0,1,1,1,0,0
"NANJING KOPASYSTEM TECHNOLOGY CO.,LTD/BRANCH-NANJING","BRANCH-NANJING",2118,1886.82,2118,2,4000,2,1,2,2,1,0,0
"JIANGSU WANBANG DEHE NEW ENERGY TECHNOLOGY CO.,LTD./BRANCH-NANJING","BRANCH-NANJING",5110.628864088255,4175.261128820094,359.036812492951,3,19000,3,2,3,3,1,0,0
"ZHENJIANG FINEWORLD AUTOMOBILE/BRANCH-NANJING","BRANCH-NANJING",1418989.0475716744742,1301848.8563124427754,563459.739351340708564,4,18158600,12,3,9,5,1,0,0
"NANJING BOSHILANG ELECTRONIC TECHNOLOGY CO., LTD/BRANCH-NANJING","BRANCH-NANJING",6109.560983060718,5206.640837907727,3923.26490030985162,1,8200,3,2,2,1,1,0,0
"NANJING FEITENG ELECTRONICS TE/BRANCH-NANJING","BRANCH-NANJING",22910.403555789665,21132.33344760567,3386.298299910382,3,36637,6,1,16,10,1,0,0
"STAR-WAVE COMMUNICATIONS TECH CO,. LTD/BRANCH-NANJING","BRANCH-NANJING",46508.573414579101,44458.705711351839,0,3,2920,2,0,3,3,1,0,0
"WUHU HONGJING ELECTRONIC CO.,LTD/BRANCH-NANJING","BRANCH-NANJING",26472.0091202726464,22667.200005157226,24773.0827699285664,2,221333,4,2,6,3,1,0,0
"NANJING EASTHICH MEASUREMENT/BRANCH-NANJING","BRANCH-NANJING",1565.873178853391,1059.64317221808,563.643314536939,1,18000,3,1,1,1,0,0,0
"JIANGSU SUWEIER SCIENCE TECHNOLOGY CO., LTD/BRANCH-NANJING","BRANCH-NANJING",9712.6270931820785,8352.56757633901113,-46.6899209863005,3,15073,4,1,4,4,1,0,0
"NANJING TAIGAO INTELLIGENT TECHNOLOGY CO., LTD/BRANCH-NANJING","BRANCH-NANJING",7891.078344494966,7458.85,7891.078344494966,2,65000,1,0,2,2,0,0,0
"HEFEI DONGYOU ELECTRONICS TECHNOLOGY CO.,LTD/BRANCH-NANJING","BRANCH-NANJING",288171.02634149436,267849.771,306572.8050303405142,2,56550,10,2,2,2,1,0,0
"NANJING NARI-RELAYS ELECTRIC CO.,LTD./BRANCH-NANJING","BRANCH-NANJING",2880,2657.168,2880,1,1600,1,0,1,1,1,0,0
"LASTER TECH AUTOMOTIVE(SHANGHAI) CO.,LTD./BRANCH-SHANGHAI1","BRANCH-SHANGHAI1",535269.7388304727374,436441.948214216825,576474.235941955843991,5,39295500,12,3,45,7,1,0,0
"SHANGHAI KRAH SEUFFER ELECTRONICS CO.,LTD/BRANCH-SHANGHAI2","BRANCH-SHANGHAI2",184151.26,167633.560788683059,56699.560000000000455,5,6425000,7,0,10,4,1,0,0
"FRANCK ELECTRONIC (SHANGHAI) CO., LTD./BRANCH-SHANGHAI2","BRANCH-SHANGHAI2",29704.00701368851,24416.35758059396,40210.4993770485,1,27000,4,3,1,1,1,0,0
"CURATIVE MEDICAL TECHNOLOGY INC/BRANCH-SUZHOU","BRANCH-SUZHOU",84846.53021382378,83004.2016,70030.623381307926545,2,12720,6,1,2,1,1,0,0
"BOZHON PRECISION INDUSTRY TECHNOLOGY CO.,LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",33311.1968035740578,27986.2050248141279,893.659848030342749,7,57833,9,3,35,17,1,0,0
"PHYLION BATTERY CO.,LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",6546.829592164058,4751.789999999999,421.962472633234,3,36750,5,1,3,2,1,0,0
"WUXI BEWIS SENSING TECHNOLOGY LLC/BRANCH-SUZHOU","BRANCH-SUZHOU",28208.39986493306,24576.89468948195,4011.28581135534,2,12000,3,1,4,3,1,0,0
"WUXI SHENNAN CIRCUITS CO.,LTD./BRANCH-SUZHOU","BRANCH-SUZHOU",180400.04,168233.9621,122609.03,12,526570,9,3,47,19,1,0,0
"KUNSHAN EUTRON ELECTRONICS TECHNOLOGY CO.,LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",11713.4,10638.76,2616.6,4,34000,6,0,4,4,1,0,0
" KSS AUTOMOTIVE ACTIVE SAFETY SYSTEM (SUZHOU) CO.,LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",23627.90494508847,21798.50109131177,1590.50494508847,4,12450,4,2,13,6,1,0,0
"WUXI TACLINK OPTOELECTRONICS TECHNOLOGY CO., LTD./BRANCH-SUZHOU","BRANCH-SUZHOU",46098.5,40654.1485,30944,4,37420,8,2,5,4,1,0,0
"SUZHOU BESCON ELECTRONICS SCIENCE & TECHNOLOGY CO., LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",9893.2,8236.17,145.5,3,6300,3,0,3,3,1,0,0
"HANGZHOU ACMETECH TECHNOLOGY CO.,LTD./BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",7051.91080086178484,6184.297523389781,2121.04244767951485,2,32851,6,2,21,7,1,0,0
"HANGZHOU BONGTANG TECHNOLOGY CO.,LTD/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",13037.97096188753,11477.125,9716.811644368072,1,27500,4,1,1,1,1,0,0
"XIAMEN HANNASEN AUTOMOTIVE TECHNOLOGY CO.,LTD/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",307079.1230288440779,268278.8220415027064,402146.225377754889873,5,2596506,10,3,21,13,1,0,0
"FUZHOU COOPERATE SOFTWARE CO.,LTD/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",121856.5,109095.14,132490.499999999993936,3,240600,11,3,4,4,1,0,0
"FUZHOU EOUTIL ELECTRONICS CO.,LTD./BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",19380.55,17746.67353,5860.55,5,104001,5,3,10,8,1,0,0
"FUZHOU DEYI ELECTRONIC TECHNOLOGY CO.,LTD/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",15665,14010.424,11340,3,30200,4,2,5,4,1,0,0
"RAYNEN ELECTRONICS/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",256807.73,232986.35573627119,221853.249999999999688,6,31262122,11,3,15,5,1,0,0
"ZHEJIANG GAOTAI HAONENG TECHNO/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",715955,646156.57,567200.000000000000455,2,156500,8,0,3,1,1,0,0
"ZHEJIANG BEILIANG WIND POWER ELEXTRONICS TECHNOLOGY CO.,LTD/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",3084.40418013683,2779.16697992632,6511.18270695784,1,3000,1,1,1,1,1,0,0
"HANGZHOU YUNKONG TECHNOLOGY CO.,LTD/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",20565.498732343354,17914.706727946396,579.498732343354,3,15298,4,2,3,3,1,0,0
"ZHEJIANG  HOWELL LIGHTING/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",435675,414466.9075090925,382830,1,982100,12,3,37,1,1,0,0
"XIAMEN RONGTA TECHINOLOGY CO., LTD./BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",159168,151702.7232,264816,1,82560,7,3,2,1,1,0,0
"XIAMEN TOPSTAR/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",10688.33806402528,9277.62735998127,2560,2,10500,3,0,3,2,1,0,0
"AUDIX TECH (XIAMEN) CO.,LTD/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",73270.4,70158.26,9618.400000000000555,5,235000,9,2,8,4,1,0,0
"AMPHENOL CORPORATION/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",66111,50825.1805,40848.000000000000909,3,103700,6,0,5,2,1,0,0
"SHANGHAI BRIHAM INDUSTRY CO.,/SPECIALTY-GREATERCHINA-RESELLER","SPECIALTY-GREATERCHINA-RESELLER",89084.8994815410391,82024.4506950165297,8893.074951473772244,2,3342560,12,3,54,6,1,0,0
"SHANGHAI RUILI AUTOMATIVE EQUIPMENT CO., LTD./SPECIALTY-GREATERCHINA-RESELLER","SPECIALTY-GREATERCHINA-RESELLER",1903.16429506894,1658.11192371647,0,1,240,1,0,1,1,1,0,0
"PROSEMI TECHNOLOGY CO., LTD./SPECIALTY-GREATERCHINA-RESELLER","SPECIALTY-GREATERCHINA-RESELLER",211332.38,202530.166,170101.34999999999784,1,1692100,9,3,25,7,1,0,0
"SHANGHAI SANWEL ELECTRONICS CO.,LTD/SPECIALTY-GREATERCHINA-RESELLER","SPECIALTY-GREATERCHINA-RESELLER",1915,1704.195,0,2,36500,3,1,2,2,1,0,0
"SHANGHAI CHIPSOUTH OPTOELECTRO/SPECIALTY-GREATERCHINA-RESELLER","SPECIALTY-GREATERCHINA-RESELLER",8961,7891.29,12778.5,5,219000,6,3,10,4,1,0,0
"HEFEI NUOER DA ELECTRONIC TECHNOLOGY CO.,LTD./BRANCH-NANJING","BRANCH-NANJING",35026.10573293438,31826.91208911101,30805.559398434492,1,10000,5,2,4,1,1,0,0
"SHANGHAI LIYING ELECTRONICS TE/BRANCH-SHANGHAI1","BRANCH-SHANGHAI1",398136.11540081358,363537.95792431947,432545.000000000001818,1,627700,11,3,3,3,1,0,0
"TENNANT CLEANING SYSTEMS AND EQUIPMENT (SHANGHAI) CO. LTD/BRANCH-SHANGHAI1","BRANCH-SHANGHAI1",6354,5782.65,4561.999999999999901,1,5700,7,2,1,1,1,0,0
"SHANGHAI YUANPING TECHNOLOGY CO LTD/BRANCH-SHANGHAI1","BRANCH-SHANGHAI1",5700,4718.304,3900,2,6300,2,0,2,2,1,0,0
"BEIJING FUHUA YUQI INFORMATION/BRANCH-SHANGHAI1","BRANCH-SHANGHAI1",138649.4987582590925,121349.3847601316232,0.149243617585199,12,95056,7,2,23,12,1,0,0
"SUZHOU XINHAISHENG ELECTRONICS/BRANCH-SUZHOU","BRANCH-SUZHOU",16106.085042226846,13747.054156769689,17415.89499263676,2,20520,4,2,6,2,1,0,0
"SUZHOU ZWO PHOTOELECTRICITY CO.,LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",17915.139959460634,15726.839438881593,4238.54820887175503,2,62500,4,1,11,4,1,0,0
"CONTROLWAY (SUZHOU) ELECTRIC. CO., LTD./BRANCH-SUZHOU","BRANCH-SUZHOU",3247.221530792876,2451.48898784556,0.831189524249055,1,120000,5,2,6,1,1,0,0
"SUZHOU STAYHEALTHY TECHNOLOGY CO., LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",21866.59648058176,19642.44268146525,-349.6875689226976,1,6120,3,1,1,1,1,0,0
"SUZHOU STANDEVER ELECTRONIC TECHONOLOGY CO., LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",27857.853560265941,25280.202779470318,11770.10933757291048,4,36130,8,2,7,3,1,0,0
"HANGZHOU TIANBO INFRARED PHOTOELECTRIC TECHNOLOGY CO., LTD/BRANCH-ZHEJIANG/FUJIAN","BRANCH-ZHEJIANG/FUJIAN",5453.5,4805.45,0,3,18940,1,0,5,3,1,0,0
"AUTOEASY ELECTRONIC TECHNOLOGY CO.,LTD./BRANCH-BEIJING1","BRANCH-BEIJING1",128599.0443087024716,112935.9297831478839,288618.975302983637091,4,181704,9,3,9,6,1,0,0
"HEBEI FAREAST COMMUNICATION SYSTEM ENGINEERING CO.,LTD./BRANCH-BEIJING1","BRANCH-BEIJING1",54797.690260463394,51394.678895763182,10386.90293736155075,8,41317,5,3,14,10,1,0,0
"WATSON CONTROL TECHNOLOGY/BRANCH-BEIJING1","BRANCH-BEIJING1",37921.81660278631,31688.9698920058,43.1695588815668,1,3060,4,1,1,1,1,0,0
"BEIJING YUANDONG DELI ELECTRONIC CO.,LTD./BRANCH-BEIJING1","BRANCH-BEIJING1",163591.4990315965963,146937.9851299933066,92477.739072907610719,9,222748,10,3,18,11,1,0,0
"BEIJING HENG YAO TECHNOLOGY CO. LTD./BRANCH-BEIJING1","BRANCH-BEIJING1",10119.163713986075,9246.479705782964,0,1,70,4,2,2,2,1,0,0
"TIANJIN JINYONGXIN ELECTRONIC TECHNOLOGY CO., LTD/BRANCH-BEIJING1","BRANCH-BEIJING1",24089.1476196344892,20994.606283344885,1324.30466268048,8,54610,4,1,18,8,1,0,0
"WALBRO TIANJIN INDUSTRIES CO.,/BRANCH-BEIJING1","BRANCH-BEIJING1",23434.50390565741,14695.531275654873,6629.73937824301379,2,125240,7,3,4,2,1,0,0
"BEIJING ZHENGXINYUAN TECHNOLOGY CO. LTD/BRANCH-BEIJING1","BRANCH-BEIJING1",54929,51283.165,52748.749999999999858,1,526900,11,3,11,4,1,0,0
"YINKMAN (BEIJING) TECHNOLOGY LTD./BRANCH-BEIJING1","BRANCH-BEIJING1",88377.22810111699,73925.25261111111,56070,3,71720,3,0,9,7,1,0,0
"BEIJING WINGOT ELECTRONICS CO.,LTD./BRANCH-BEIJING1","BRANCH-BEIJING1",43170,39171.68168,20726.4,2,12176,8,2,3,2,1,0,0
